x,y
-4.93,248757.07
-4.87,230649.55
-4.86,226756.55
-4.81,210864.22
-4.45,121918.74
-4.13,72345.43
-3.98,55740.18
-3.72,34663.51
-3.20,11967.52
-2.95,6713.81
-2.94,6465.08
-2.90,5857.39
-2.86,5354.71
-2.85,5213.85
-2.83,4938.86
-2.78,4379.24
-2.44,1697.92
-2.38,1403.99
-2.30,1118.44
-2.12,600.77
-2.00,381.95
-1.99,380.92
-1.99,366.98
-1.95,318.08
-1.35,15.41
-1.17,3.89
-0.84,0.71
-0.77,1.20
-0.40,2.41
-0.39,2.27
-0.35,3.57
-0.28,2.78
-0.23,1.89
-0.09,3.63
-0.04,3.16
0.04,0.81
0.11,2.16
0.12,2.33
0.22,1.78
0.27,0.46
0.28,1.67
0.49,1.26
0.69,0.65
0.70,-0.80
0.81,-1.41
0.81,0.50
0.98,-3.61
1.06,-5.43
1.19,-10.41
1.21,-12.86
1.24,-12.21
1.24,-14.83
1.26,-18.13
1.29,-19.18
1.44,-38.88
1.46,-46.19
1.50,-51.27
1.50,-53.25
1.68,-118.27
1.70,-125.51
1.72,-135.66
1.80,-185.56
1.82,-207.62
1.86,-240.85
1.96,-343.38
2.25,-907.06
2.34,-1204.31
2.38,-1383.74
2.42,-1544.56
2.49,-1871.32
2.52,-2083.66
2.73,-3610.21
2.76,-3873.05
2.78,-4083.89
2.78,-4104.21
2.90,-5575.97
2.96,-6448.20
3.03,-7562.85
3.10,-8934.75
3.11,-9212.18
3.12,-9350.08
3.39,-16974.54
3.46,-19414.50
3.51,-21729.38
3.59,-25057.97
3.66,-29042.41
3.71,-31735.91
4.08,-62341.84
4.08,-62448.10
4.10,-64355.33
4.17,-73060.09
4.17,-73225.18
4.23,-80370.14
4.36,-99761.53
4.65,-158078.21
4.67,-161604.19
4.78,-191699.61
4.89,-223128.16
4.94,-239600.81
4.94,-240672.09
